amenity,count
Kitchen,7822
Essentials,7672
Wifi,7598
Hair dryer,7288
Hot water,7190
Dishes and silverware,7014
Hangers,6820
Bed linens,6643
Cooking basics,6592
Refrigerator,6468
Iron,6366
Heating,5399
Shampoo,5393
Microwave,5348
Long term stays allowed,5016
Hot water kettle,4887
Smoke alarm,4827
Shower gel,4603
Dedicated workspace,4564
Dining table,4259
Elevator,4172
Wine glasses,4131
Self check-in,4085
Room-darkening shades,3986
Fire extinguisher,3824
Cleaning products,3757
Washer,3738
Freezer,3673
Dishwasher,3615
TV,3462
Carbon monoxide alarm,3387
Stove,3327
Body soap,3248
Drying rack for clothing,3138
Oven,3086
First aid kit,2909
Coffee,2766
Lockbox,2760
Extra pillows and blankets,2640
Coffee maker,2610
Luggage dropoff allowed,2522
Pets allowed,2266
Central heating,2226
Toaster,2188
Free washer – In unit,2082
Baking sheet,2026
Host greets you,1980
Portable fans,1966
Bathtub,1958
Private entrance,1820
Crib,1626
Paid parking off premises,1572
Clothing storage: closet,1495
Clothing storage,1400
Security cameras on property,1346
Pack ’n play/Travel crib,1301
High chair,1207
Mini fridge,1197
Laundromat nearby,1180
Private patio or balcony,1097
Ethernet connection,1011
Paid street parking off premises,1010
Air conditioning,989
Outdoor furniture,919
Books and reading material,898
Courtyard view,893
Conditioner,885
Paid parking on premises,884
Dryer,876
City skyline view,864
Free dryer – In unit,795
Coffee maker: Nespresso,781
Free parking on premises,778
Single level home,769
Electric stove,752
Backyard,733
Lock on bedroom door,724
TV with standard cable,720
Cleaning available during stay,717
Free street parking,662
Induction stove,657
Safe,632
Patio or balcony,621
Crib - available upon request,568
Bidet,554
Children’s books and toys,546
Outdoor dining area,542
Children’s dinnerware,510
Keypad,497
Central air conditioning,496
Clothing storage: closet and dresser,476
Building staff,476
Paid parking garage off premises,472
Blender,453
Pack ’n play/Travel crib - available upon request,452
Coffee maker: espresso machine,421
Shared backyard – Fully fenced,408
Board games,379
Smart lock,352
Garden view,341
Waterfront,327
Clothing storage: wardrobe,321
Paid parking lot off premises,308
