iter	RMSE
0	0.6070563989
1	0.5751369388
2	0.5497369726
3	0.5290976404
4	0.5096853745
5	0.4937759006
6	0.4811319452
7	0.4698738198
8	0.4606459379
9	0.4512861523
10	0.4440876351
11	0.4365614413
12	0.4305673087
13	0.4249453799
14	0.4204323283
15	0.4148619342
16	0.4108079375
17	0.4065877793
18	0.4021418779
19	0.3984671255
20	0.3950076398
21	0.3921809142
22	0.3897266503
23	0.3874929007
24	0.3843415202
25	0.3821874464
26	0.3793496913
27	0.3776717737
28	0.3762806521
29	0.3738472425
30	0.3722522001
31	0.3700672739
32	0.3682935696
33	0.3668082288
34	0.3652575406
35	0.3640415197
36	0.3627141637
37	0.3609936759
38	0.359652133
39	0.3578962733
40	0.3569188436
41	0.3558670838
42	0.3542000247
43	0.3531324301
44	0.3521800609
45	0.3515522717
46	0.3508408911
47	0.3501411814
48	0.3491021977
49	0.3485240525
50	0.3473105506
51	0.3461259374
52	0.3445783058
53	0.3434698825
54	0.3424475561
55	0.3411997355
56	0.3399390497
57	0.3389169094
58	0.3370743566
59	0.3360877231
60	0.3350006308
61	0.3341699628
62	0.3327323759
63	0.3314803197
64	0.3307464308
65	0.3297812858
66	0.3282344736
67	0.3271322144
68	0.3260191554
69	0.3251480285
70	0.3232695345
71	0.3229870933
72	0.3222874065
73	0.3212052419
74	0.3210215873
75	0.320508234
76	0.3194360428
77	0.31924754
78	0.3182900837
79	0.3174379019
80	0.3158152781
81	0.3145036544
82	0.3128069761
83	0.3115873413
84	0.3106357224
85	0.3094882823
86	0.3084645813
87	0.3083135356
88	0.3071652438
89	0.3070052258
90	0.3062690211
91	0.3050727532
92	0.3049217268
93	0.3047933728
94	0.3040585109
95	0.303120358
96	0.3020075835
97	0.300710945
98	0.2992555108
99	0.2979447338
100	0.2963508228
101	0.2952482257
102	0.2939014751
103	0.2928942518
104	0.2927898439
105	0.2911358866
106	0.2902214332
107	0.2901404892
108	0.2890990023
109	0.2887825652
110	0.287948008
111	0.2870286744
112	0.2857491135
113	0.2856549108
114	0.2849055437
115	0.2840246916
116	0.2832121742
117	0.283055849
