iter	Passed	Remaining
0	33	26468
1	47	18756
2	64	17052
3	83	16516
4	102	16299
5	118	15700
6	135	15315
7	151	14962
8	168	14811
9	185	14668
10	203	14598
11	223	14651
12	240	14554
13	256	14401
14	276	14439
15	302	14808
16	328	15121
17	349	15158
18	365	14988
19	382	14881
20	399	14796
21	418	14763
22	434	14654
23	452	14626
24	470	14568
25	494	14687
26	517	14783
27	538	14824
28	559	14856
29	578	14833
30	612	15166
31	635	15234
32	651	15130
33	672	15128
34	688	15039
35	713	15113
36	735	15150
37	753	15090
38	770	15019
39	786	14928
40	803	14862
41	821	14812
42	841	14790
43	864	14826
44	883	14811
45	908	14876
46	931	14907
47	952	14899
48	971	14872
49	988	14806
50	1007	14769
51	1024	14710
52	1042	14670
53	1065	14694
54	1088	14718
55	1117	14820
56	1138	14822
57	1154	14745
58	1169	14663
59	1184	14587
60	1199	14507
61	1212	14415
62	1228	14356
63	1244	14295
64	1263	14268
65	1280	14221
66	1299	14192
67	1315	14142
68	1331	14082
69	1346	14025
70	1366	14007
71	1381	13953
72	1397	13894
73	1412	13834
74	1426	13769
75	1439	13693
76	1452	13622
77	1466	13553
78	1481	13502
79	1498	13471
80	1522	13499
81	1550	13554
82	1571	13552
83	1594	13570
84	1609	13521
85	1625	13479
86	1641	13433
87	1654	13365
88	1667	13303
89	1680	13235
90	1691	13162
91	1706	13112
92	1718	13043
93	1730	12978
94	1747	12949
95	1762	12909
96	1780	12887
97	1800	12878
98	1819	12864
99	1834	12825
100	1851	12794
101	1865	12750
102	1880	12705
103	1894	12658
104	1906	12598
105	1919	12548
106	1936	12527
107	1952	12490
108	1966	12451
109	1982	12419
110	2006	12438
111	2022	12405
112	2037	12369
113	2052	12335
114	2075	12342
115	2097	12348
116	2116	12339
117	2135	12326
118	2153	12304
119	2172	12291
120	2191	12279
121	2210	12269
122	2230	12257
123	2245	12225
124	2261	12195
125	2278	12167
126	2294	12138
127	2310	12112
128	2325	12080
129	2343	12057
130	2360	12034
131	2374	12000
132	2389	11963
133	2404	11930
134	2421	11911
135	2446	11927
136	2471	11943
137	2486	11909
138	2501	11875
139	2516	11844
140	2530	11806
141	2547	11786
142	2564	11764
143	2584	11753
144	2601	11735
145	2621	11724
146	2642	11718
147	2672	11756
148	2689	11731
149	2706	11711
150	2722	11684
151	2746	11689
152	2766	11679
153	2783	11659
154	2803	11646
155	2819	11623
156	2840	11615
157	2862	11611
158	2879	11589
159	2897	11572
160	2914	11548
161	2930	11522
162	2950	11512
163	2966	11485
164	2982	11459
165	3000	11441
166	3015	11413
167	3031	11386
168	3048	11365
169	3069	11358
170	3090	11348
171	3108	11331
172	3127	11317
173	3147	11306
174	3164	11284
175	3181	11263
176	3198	11241
177	3218	11228
178	3241	11227
179	3257	11201
180	3272	11173
181	3289	11152
182	3307	11134
183	3325	11114
184	3341	11090
185	3357	11064
186	3372	11038
187	3388	11011
188	3404	10989
189	3422	10968
190	3442	10959
191	3465	10955
192	3483	10938
193	3504	10928
194	3523	10912
195	3539	10890
196	3565	10894
197	3586	10885
198	3608	10880
199	3632	10878
200	3649	10856
201	3667	10839
202	3688	10829
203	3712	10827
204	3733	10818
205	3747	10788
206	3765	10767
207	3779	10738
208	3795	10713
209	3811	10689
210	3828	10668
211	3849	10658
212	3868	10644
213	3889	10632
214	3915	10636
215	3941	10637
216	3961	10623
217	3979	10605
218	3997	10587
219	4012	10559
220	4026	10529
221	4040	10500
222	4057	10480
223	4078	10468
